,,0
cfpr_diameter,cfpr_irregularity,0.7990810384133966
cfpr_irregularity,cfpr_diameter,0.7990810384133966
fatr_total_radius_of_end_regions,fatr_irregularity,0.8021809233836383
fatr_irregularity,fatr_total_radius_of_end_regions,0.8021809233836383
ufsr_radius_of_end_region_1,ufsr_total_radius_of_end_regions,0.8031914834380015
ufsr_total_radius_of_end_regions,ufsr_radius_of_end_region_1,0.8031914834380015
fatr_total_surface_area,fatr_irregularity,0.8100825288933601
fatr_irregularity,fatr_total_surface_area,0.8100825288933601
ufsl_area_of_end_region_1,ufsl_number_of_tracts,0.8130211180760297
ufsl_number_of_tracts,ufsl_area_of_end_region_1,0.8130211180760297
fatr_volume,fatr_total_area_of_end_regions,0.8166394128750344
fatr_total_area_of_end_regions,fatr_volume,0.8166394128750344
cfpr_number_of_tracts,cfpr_diameter,0.8167393076874397
cfpr_diameter,cfpr_number_of_tracts,0.8167393076874397
fatr_volume,fatr_area_of_end_region_1,0.8183378162414676
fatr_area_of_end_region_1,fatr_volume,0.8183378162414676
cfpr_diameter,cfpr_area_of_end_region_1,0.8188006060250274
cfpr_area_of_end_region_1,cfpr_diameter,0.8188006060250274
cfpr_total_surface_area,cfpr_number_of_tracts,0.8254248658862984
cfpr_number_of_tracts,cfpr_total_surface_area,0.8254248658862984
ufsr_mean_length,ufsr_elongation,0.8306951674597136
ufsr_elongation,ufsr_mean_length,0.8306951674597136
fatr_number_of_tracts,fatr_area_of_end_region_1,0.8386516200109608
fatr_area_of_end_region_1,fatr_number_of_tracts,0.8386516200109608
fatr_span,fatr_mean_length,0.8466509314075409
fatr_mean_length,fatr_span,0.8466509314075409
cfpr_area_of_end_region_2,cfpr_volume,0.8485661012503993
cfpr_volume,cfpr_area_of_end_region_2,0.8485661012503993
fatr_number_of_tracts,fatr_total_area_of_end_regions,0.8499175051148613
fatr_total_area_of_end_regions,fatr_number_of_tracts,0.8499175051148613
fatr_iso,ufsl_qa,0.8502194250495893
ufsl_qa,fatr_iso,0.8502194250495893
fatr_radius_of_end_region_2,fatr_total_radius_of_end_regions,0.850883044215295
fatr_total_radius_of_end_regions,fatr_radius_of_end_region_2,0.850883044215295
ufsl_mean_length,ufsl_elongation,0.8528531386993722
ufsl_elongation,ufsl_mean_length,0.8528531386993722
cfpr_area_of_end_region_1,cfpr_number_of_tracts,0.8528858581799207
cfpr_number_of_tracts,cfpr_area_of_end_region_1,0.8528858581799207
fatr_qa,ufsr_iso,0.8538651462304088
ufsr_iso,fatr_qa,0.8538651462304088
ufsl_total_radius_of_end_regions,ufsl_radius_of_end_region_2,0.8577107183374592
ufsl_radius_of_end_region_2,ufsl_total_radius_of_end_regions,0.8577107183374592
cfpr_total_area_of_end_regions,cfpr_diameter,0.8632646279228151
cfpr_diameter,cfpr_total_area_of_end_regions,0.8632646279228151
ufsl_total_area_of_end_regions,ufsl_area_of_end_region_1,0.8644566493717915
ufsl_area_of_end_region_1,ufsl_total_area_of_end_regions,0.8644566493717915
ufsl_qa,ufsr_iso,0.8656620579674021
ufsr_iso,ufsl_qa,0.8656620579674021
ufsr_total_area_of_end_regions,ufsr_number_of_tracts,0.8686468371928955
ufsr_number_of_tracts,ufsr_total_area_of_end_regions,0.8686468371928955
cfpr_total_surface_area,cfpr_diameter,0.8757862879794396
cfpr_diameter,cfpr_total_surface_area,0.8757862879794396
ufsl_total_area_of_end_regions,ufsl_number_of_tracts,0.8785251710013787
ufsl_number_of_tracts,ufsl_total_area_of_end_regions,0.8785251710013787
fatr_qa,ufsl_iso,0.8791705929704805
ufsl_iso,fatr_qa,0.8791705929704805
cfpr_total_surface_area,cfpr_total_area_of_end_regions,0.884071940746492
cfpr_total_area_of_end_regions,cfpr_total_surface_area,0.884071940746492
fatr_iso,cfpr_qa,0.8883706176402879
cfpr_qa,fatr_iso,0.8883706176402879
fatr_diameter,fatr_total_surface_area,0.888622748976472
fatr_total_surface_area,fatr_diameter,0.888622748976472
cfpr_qa,ufsr_iso,0.89427844255098
ufsr_iso,cfpr_qa,0.89427844255098
cfpr_number_of_tracts,cfpr_volume,0.9007164380240744
cfpr_volume,cfpr_number_of_tracts,0.9007164380240744
cfpr_volume,cfpr_diameter,0.9031866157005974
cfpr_diameter,cfpr_volume,0.9031866157005974
fatr_area_of_end_region_2,fatr_total_area_of_end_regions,0.9032268807489087
fatr_total_area_of_end_regions,fatr_area_of_end_region_2,0.9032268807489087
fatr_total_surface_area,fatr_volume,0.9035161295394434
fatr_volume,fatr_total_surface_area,0.9035161295394434
cfpr_area_of_end_region_1,cfpr_volume,0.9041278605741525
cfpr_volume,cfpr_area_of_end_region_1,0.9041278605741525
ufsl_qa,ufsl_iso,0.9042166663117704
ufsl_iso,ufsl_qa,0.9042166663117704
fatr_iso,ufsr_qa,0.9042382791492494
ufsr_qa,fatr_iso,0.9042382791492494
cfpr_total_surface_area,cfpr_area_of_end_region_1,0.9049924171346465
cfpr_area_of_end_region_1,cfpr_total_surface_area,0.9049924171346465
ufsl_iso,cfpr_qa,0.9087303042043189
cfpr_qa,ufsl_iso,0.9087303042043189
cfpr_total_area_of_end_regions,cfpr_area_of_end_region_1,0.9099606997613201
cfpr_area_of_end_region_1,cfpr_total_area_of_end_regions,0.9099606997613201
fatr_iso,ufsl_iso,0.9111212947080761
ufsl_iso,fatr_iso,0.9111212947080761
ufsr_qa,ufsr_iso,0.9199049278629313
ufsr_iso,ufsr_qa,0.9199049278629313
cfpr_area_of_end_region_2,cfpr_number_of_tracts,0.922893530172638
cfpr_number_of_tracts,cfpr_area_of_end_region_2,0.922893530172638
ufsr_iso,fatr_iso,0.923356078467028
fatr_iso,ufsr_iso,0.923356078467028
fatr_iso,fatr_qa,0.9258686463759882
fatr_qa,fatr_iso,0.9258686463759882
fatr_total_radius_of_end_regions,fatr_radius_of_end_region_1,0.9295799128153854
fatr_radius_of_end_region_1,fatr_total_radius_of_end_regions,0.9295799128153854
cfpr_iso,ufsl_qa,0.9300025509957404
ufsl_qa,cfpr_iso,0.9300025509957404
cfpr_total_area_of_end_regions,cfpr_area_of_end_region_2,0.9310629561431113
cfpr_area_of_end_region_2,cfpr_total_area_of_end_regions,0.9310629561431113
fatr_qa,cfpr_iso,0.9311213541185727
cfpr_iso,fatr_qa,0.9311213541185727
