0,N
nrdi04L	0.0742161,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0114322,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	8226,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	80.9207,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	31.7265,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.55057,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.58212,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	17.6601,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	19821.5,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	19211.4,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	610.088,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	28873.9,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	15.7463,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	3800.57,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	6.43136,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	2495.19,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	8.62735,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.0937132,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1305.37,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	7.11894,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.121968,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.129159,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.426574,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.829821,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.21288,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.638292,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.372183,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.216331,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.277491,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.109008,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0168304,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50008_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	7507,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	77.7195,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	29.7448,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.61288,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	5.36743,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	14.4798,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	12798.1,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	6334.93,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	6463.22,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	24418.2,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	17.601,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	1854.75,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	6.9067,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1256.41,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	11.0489,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.305251,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	598.337,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	6.55213,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.225408,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.0893513,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.380491,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.874739,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.19626,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.713981,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.295469,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.170028,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.218446,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.0859806,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0134162,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50010_dwi.Frontal_Aslant_Tract_R.stat.txt	29
,sub-50013_dwi.Frontal_Aslant_Tract_R.stat.txt	0
number of tracts	9193,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	78.5968,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	31.0295,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.53297,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.77258,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	16.4684,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	16741.7,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	16272.6,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	469.073,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	25799,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	16.5298,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	3145.43,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	6.34448,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	2089.77,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	7.94871,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.0949825,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1055.66,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	8.58105,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.219133,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.168992,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.411115,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.804158,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.1517,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.630387,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.546856,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.314649,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.403556,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.158508,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0244536,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	28
