0,N
volume(mm^3)	20230.8,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	17243.1,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	2987.77,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	33290.5,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	17.7608,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3658.57,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.13053,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1404.28,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	6.43837,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.0927359,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	2254.29,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	11.3224,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.178656,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.168787,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.417717,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.870427,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.23313,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.689075,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.51695,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.299147,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.384416,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.151345,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.023647,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50013_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8940,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	77.6203,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	27.285,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.8448,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.68542,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	16.5664,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	16730.9,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	16371.5,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	359.395,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	25676.6,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	16.8237,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	2890.82,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	6.35601,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1270.12,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	7.22918,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.129266,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1620.7,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	9.59448,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.178439,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.167965,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.400024,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.792702,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.12666,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.625723,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.556718,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.320692,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.41115,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.161416,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.024839,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50014_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	10391,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	86.0864,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	32.9929,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.60924,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.7715,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	18.0418,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	22008.2,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	18385.9,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	3622.34,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	36183.2,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	18.2322,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3871.07,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.41554,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1774.45,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	10.1485,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.182342,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	2096.63,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	8.08377,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.0979167,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.168491,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.428209,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.807,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.17594,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.622528,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.505175,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.293484,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.3764,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.147836,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0228029,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50015_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8371,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	81.2783,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	27.686,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.93572,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.46538,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	18.2019,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	21149.4,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	12621.9,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	8527.53,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	38620.7,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	26.8858,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3095.49,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	8.30956,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1397.43,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	13.8408,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.43067,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1698.06,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	13.0449,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.314833,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.182356,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.419283,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.860027,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.23033,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.674877,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.538125,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.313429,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.40253,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.158362,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0246476,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50020_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	6527,sub-50021_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	77.1238,sub-50021_dwi.Frontal_Aslant_Tract_L.stat.txt	1
