0,N
irregularity of end region 2	0.292768,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.126634,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.479565,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.754832,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.15286,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.555821,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.323218,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.192659,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.246774,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.0967735,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0148003,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50010_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	14080,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	121.328,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	32.8827,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.68971,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	8.67973,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	13.9783,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	18619,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	13042,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	5576.97,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	30477,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	18.7783,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2971.12,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	5.72018,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1648.12,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	10.3546,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.204375,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	1323,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	8.42373,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.1685,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.184653,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.479716,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.78527,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.19491,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.580449,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.506399,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.29743,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.381268,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.149657,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0230062,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50013_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	9043,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	101.991,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	28.0257,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.63918,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	7.82903,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	13.0273,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	13594.3,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	11911.9,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	1682.39,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	27313.9,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	16.4512,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	1942.88,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	6.54366,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	991.026,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	9.01417,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.257582,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	951.855,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	7.43705,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.182549,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.189377,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.435802,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.753197,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.11164,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.573976,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.58522,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.340087,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.43555,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.170772,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0260909,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50014_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	10784,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	121.251,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	31.1824,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.88846,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	7.96038,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	15.2319,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	22094.4,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	21212.1,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	882.328,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	38878.2,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	17.8624,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	3204.19,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	6.70065,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1526.69,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	8.90008,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.163,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	1677.5,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	8.96229,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.150427,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.215153,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.472346,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.747954,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.14822,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.547819,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.57751,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.341185,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.436884,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.17126,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0261364,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50015_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	7164,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	115.75,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	29.1095,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.97638,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	9.70341,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	11.9288,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	12936.2,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	9096.49,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	3839.74,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	26355.2,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	15.2706,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	1750.94,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	6.07571,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	790.275,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	8.24645,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.270337,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	960.669,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	7.02412,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.161347,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.19782,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.454456,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.848598,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.26231,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.641743,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.52677,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.311092,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.399122,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.156828,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0242477,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50020_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	1563,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	110.86,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	30.6863,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.61269,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	13.8873,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	7.98286,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	5548.57,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	3600.79,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	1947.78,sub-50021_dwi.Arcuate_Fasciculus_R.stat.txt	8
