0,N
branch volume(mm^3)	10222.7,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	40954.3,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	25.2708,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	3959.21,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.61392,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	2248.42,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	16.1568,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.36474,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1710.79,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	9.11404,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.152537,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.127251,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.49913,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.759179,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.19537,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.541084,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.300442,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.180904,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.231641,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.0908018,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0138554,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50010_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	15960,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	127.58,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	22.9422,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	5.56091,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	7.70586,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	16.5562,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	27465.7,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	18366.3,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	9099.42,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	44688.2,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.5316,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	10
