,0,1,2,3,4,5,6,7,8,9,10,11
fatl_curl,,,,,,0.11750466022241535,0.1088266260424564,0.08765280488263331,,,0.12342093070084606,0.13929979047562716
cfpl_curl,,,,,,0.11750466022241535,0.1088266260424564,0.08765280488263331,,,0.12342093070084606,0.13929979047562716
ufsl_curl,,,,,,0.11750466022241535,0.1088266260424564,0.08765280488263331,,,0.12342093070084606,0.13929979047562716
afsl_curl,,,,,,0.1175046602224152,0.10882662604245642,0.08765280488263302,,,0.12342093070084623,0.13929979047562713
afsl_radius_of_end_region_2,,,,,,0.11509287653111491,,,0.14451757209316948,,,
fatl_radius_of_end_region_2,,,,,,0.1150928765311149,,,0.14451757209316946,,,
cfpl_radius_of_end_region_2,,,,,,0.1150928765311149,,,0.14451757209316946,,,
ufsl_radius_of_end_region_2,,,,,,0.1150928765311149,,,0.14451757209316946,,,
slfl_span,,,,,,0.10943725249506038,0.09817442020860145,0.16556821159413773,,,,
slfl_curl,,,,,,0.10082434010824921,0.10951589073581054,0.09736002850440899,,,0.12780417508641484,0.19919937814384092
afsr_diameter,,,,,,0.09707999338249579,,,,,,
afsr_radius_of_end_region_1,,,,,,0.08663421870430842,,,,,,
ufsr_diameter,,,,,,0.08541978501460148,,,,,,
fatr_diameter,,,,,,0.08541978501460148,,,,,,
cfpr_diameter,,,,,,0.08541978501460148,,,,,,
afsr_curl,,,,,,,0.16989506704401722,0.08899758976473196,0.13403217727671396,,,0.12679379248578718
fatr_curl,,,,,,,0.16815956035632984,0.09104831376881133,0.13479581188642228,,,0.12864457854459677
cfpr_curl,,,,,,,0.16815956035632984,0.09104831376881133,0.13479581188642228,,,0.12864457854459677
ufsr_curl,,,,,,,0.16815956035632984,0.09104831376881133,0.13479581188642228,,,0.12864457854459677
slfr_curl,,,,,,,0.16522307552776622,0.08813413133315512,0.13866911819285227,,,0.12004314099817387
slfl_ad,,,,,,,0.10455163294171883,,,,,0.08474815059043692
slfr_ad,,,,,,,0.09633089695093151,,,,0.13704225356534813,
afsl_ad,,,,,,,0.09358209891381551,,,,,
fatl_ad,,,,,,,0.09358209891381525,,,,,
cfpl_ad,,,,,,,0.09358209891381525,,,,,
ufsl_ad,,,,,,,0.09358209891381525,,,,,
ufsl_number_of_tracts,,,,,,,0.09292749405428251,,,0.12973000748450741,,
fatl_number_of_tracts,,,,,,,0.09292749405428251,,,0.12973000748450741,,
cfpl_number_of_tracts,,,,,,,0.09292749405428251,,,0.12973000748450741,,
afsl_number_of_tracts,,,,,,,0.0929274940542825,,,0.12973000748450741,,
slfr_span,,,,,,,0.09128364380594103,,,,,
afsl_area_of_end_region_1,,,,,,,0.09029633119110794,,0.16875619515590398,0.14906518589550963,,
fatl_area_of_end_region_1,,,,,,,0.09029633119110783,,0.16875619515590423,0.1490651858955095,,
cfpl_area_of_end_region_1,,,,,,,0.09029633119110783,,0.16875619515590423,0.1490651858955095,,
ufsl_area_of_end_region_1,,,,,,,0.09029633119110783,,0.16875619515590423,0.1490651858955095,,
slfr_irregularity_of_end_region_2,,,,,,,0.08991685321332157,,0.11774756636389806,,0.15598510577798289,0.18579410734506838
slfl_elongation,,,,,,,,0.1151283219065142,0.1026876643087008,,,
slfl_trunk_volume,,,,,,,,0.0946307285353047,0.10712811513390527,,,0.1250263088939829
slfl_area_of_end_region_1,,,,,,,,,0.19700987415586954,0.1820696781443342,,
slfl_irregularity_of_end_region_2,,,,,,,,,0.09076356949818012,0.12661388161868883,0.111638798202436,
afsl_irregularity_of_end_region_2,,,,,,,,,,0.15131748756187285,0.09732473651537162,
cfpl_irregularity_of_end_region_2,,,,,,,,,,0.1513174875618728,0.09732473651537156,
ufsl_irregularity_of_end_region_2,,,,,,,,,,0.1513174875618728,0.09732473651537156,
fatl_irregularity_of_end_region_2,,,,,,,,,,0.1513174875618728,0.09732473651537156,
afsr_volume,,,,,,,,,,0.08770226421266937,,
slfr_volume,,,,,,,,,,0.08724497221802947,,
slfr_number_of_tracts,,,,,,,,,,0.08659830219532647,,
fatr_area_of_end_region_2,,,,,,,,,,0.08585809970446116,0.1608557815923259,
ufsr_area_of_end_region_2,,,,,,,,,,0.08585809970446116,0.1608557815923259,
cfpr_area_of_end_region_2,,,,,,,,,,0.08585809970446116,0.1608557815923259,0.08409885516782706
slfr_diameter,,,,,,,,,,0.07950731747164227,,
afsr_area_of_end_region_2,,,,,,,,,,,0.14964406575081504,
slfr_area_of_end_region_2,,,,,,,,,,,0.14929897316810467,
afsr_area_of_end_region_1,,,,,,,,,,,0.08943716768364499,
slfr_area_of_end_region_1,,,,,,,,,,,0.08850229934091815,
fatl_trunk_volume,,,,,,,,,,,,0.10717907736526923
cfpl_trunk_volume,,,,,,,,,,,,0.10717907736526923
ufsl_trunk_volume,,,,,,,,,,,,0.10717907736526923
afsl_trunk_volume,,,,,,,,,,,,0.10717907736526922
