0,N
total radius of end regions(mm)	19.4045,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	1038.03,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	7.68973,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	302.596,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	9.27428,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.892992,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	735.436,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	10.1302,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.438374,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.222326,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.379024,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.79181,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.12014,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.627647,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.59551,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.400537,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.513434,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.201533,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.030982,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-10225_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	4578,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	61.2027,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	9.57075,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	6.39476,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	3.71392,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	16.4792,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	13053.7,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	10550.7,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	2503.03,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	21903.4,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	19.7465,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	2804.64,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	6.91282,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1489.48,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	9.56476,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.192959,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1315.17,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	10.1817,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.247633,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.128117,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.362208,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.82761,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.13891,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.671961,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.406348,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.267657,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.343283,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.134834,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.0208025,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-10227_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	3305,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	64.0725,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	13.5599,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	4.72515,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	4.69142,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	13.6574,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	9386.35,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	3763.35,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	5623,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	17226.4,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	16.6249,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	1690.23,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	6.26622,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1003.76,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	6.96087,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.151652,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	686.472,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	9.66399,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.427405,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.192554,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.354954,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.883433,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.2112,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.719549,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.582698,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.384331,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.493592,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.194195,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.0302454,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-10228_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	2066,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	52.7164,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	19.8205,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	2.65969,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	5.19478,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	10.148,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	4263.76,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	2110.34,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	2153.43,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	9449.03,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	15.9246,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	868.617,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	5.62228,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	307.492,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	6.57684,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.441926,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	561.125,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	9.34779,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.489225,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.224591,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.366526,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.866383,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.21301,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.693072,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.61797,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.411962,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.528682,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.207807,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.0321902,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	28
