0,N
nrdi04L	0.0745909,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0114513,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-10206_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	8068,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	75.1277,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	26.5853,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.82591,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.63986,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	16.1918,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	15469.6,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	11612.2,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	3857.36,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	30527.9,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	21.6412,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	2646,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	7.98827,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1227.03,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	11.6632,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.348278,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1418.97,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	9.97806,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.220429,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.169287,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.395764,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.823235,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.14892,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.660393,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.455625,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.307291,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.394182,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.154856,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.023916,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-10217_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	6385,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	76.5139,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	1
