0,N
mean length(mm)	98.1978,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	28.5315,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.44173,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.68317,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	12.7809,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	12598.4,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	9232.61,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	3365.77,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	25648.2,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	16.5907,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2008.49,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.50495,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	778.524,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	5.82577,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.136957,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1229.97,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	10.7649,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.295992,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.1939,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.432057,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.843211,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.23229,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.648672,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.46678,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.318063,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.408152,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.160417,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0248352,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10217_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
,sub-10225_dwi.Superior_Longitudinal_Fasciculus1_L.no_result.txt	0
number of tracts	4082,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	105.225,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	33.1179,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.17729,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	9.39122,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	11.2046,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	10375.4,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	4893.44,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	5481.98,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	21858.4,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	17.3934,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1560.96,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.90134,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	730.539,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	6.78828,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.198164,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	830.425,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	10.6052,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.425485,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.17336,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.472579,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.791811,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.21069,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.582372,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.382439,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.265622,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
