0,N
nrdi06L	0.0256376,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10325_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	7059,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	102.834,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	26.4277,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.89114,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.08796,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	14.5082,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	17000.2,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	13318.1,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	3682.07,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	29868.9,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	19.3482,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1966.38,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.37263,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	688.43,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	9.71165,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.430404,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1277.95,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	9.63652,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.228284,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.221866,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.435904,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.896079,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.31458,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.686829,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.515367,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.351788,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.451936,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.177868,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0277408,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10329_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	226,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	81.7542,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	22.8247,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.58184,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	16.9911,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	4.81159,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	1486.54,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	846.094,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	640.446,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	4628.05,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	8.15393,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	155.705,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	3.74499,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	85.1969,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	3.70905,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.507285,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	70.5078,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	4.44488,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.880304,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.151318,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.462784,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.840973,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.27701,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.622952,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.321378,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.224634,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.288218,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.113259,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0175173,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10339_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	2478,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	87.121,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	25.6088,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.40199,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	7.43842,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	11.7123,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	9386.35,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	7219.22,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	2167.14,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	21861.3,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	15.7134,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1177.09,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.81965,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	627.715,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	7.63275,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.291574,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	549.373,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	8.08069,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.373404,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.144872,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.399793,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.866249,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.24503,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.67686,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.377054,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.253557,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.325413,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.127916,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0198188,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6515,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	92.4907,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	31.305,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	2.9545,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	8.12138,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	11.3885,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	9421.61,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	7719.63,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	1701.98,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	17823.8,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	17.1348,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2070.19,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.38621,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	921.498,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.0716,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.34582,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1148.69,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	7.06327,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.136445,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.268434,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.465808,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.777884,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.18866,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.572498,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.629502,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.431041,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.55233,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.216701,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0332272,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	8749,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	112.75,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	33.2327,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.39276,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	8.34443,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	13.5121,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	16167.8,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	9360.89,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	6806.94,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	29608.4,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	19.4807,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2052.56,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.18621,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	721.726,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	8.77444,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.335132,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1330.83,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	10.7062,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.270582,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.164149,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.435209,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.874166,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.29444,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.66403,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.375284,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.257569,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.330618,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.129989,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0201624,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	5640,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	119.213,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	38.5573,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.09185,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	9.88078,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	12.0652,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	13629.6,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	3893.6,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	9735.95,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	28366.7,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	23.4589,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1791.09,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.27769,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	954.793,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.272,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.347176,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	836.301,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	13.1869,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.653241,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.208251,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.425305,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.881085,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.2859,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.678678,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.485973,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.33262,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.427039,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.167939,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0260829,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	5870,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	83.8317,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	21.1078,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.9716,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	5.75916,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	14.5563,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	13950.8,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	13271.1,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	679.616,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	24053,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	16.5727,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1985.97,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.27423,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	1088.95,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	7.97717,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.183585,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	897.016,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	8.59553,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.258759,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.171139,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.412604,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.872821,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.24389,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.687286,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.446932,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.300553,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.386106,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.151955,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0236964,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	7842,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	90.1372,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	23.4749,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.83973,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	5.77506,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	15.608,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	17246,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	13185.9,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	4060.07,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	31502.3,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	21.0109,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2951.54,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	7.12756,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	1261.31,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	11.9201,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.353909,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1690.23,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	9.0908,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.153606,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.259925,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.40514,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.875988,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.2491,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.689434,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.654234,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.442348,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.568069,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.223474,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0347703,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6629,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	104.653,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	35.5748,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	2.94178,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	8.25898,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	12.6715,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	13197.7,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	12229.2,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	968.503,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	25152.7,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	20.2984,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2175.95,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.03745,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	657.094,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	9.6603,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.446174,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1518.86,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	10.6381,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.234079,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.147628,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.464344,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.781079,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.19353,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.574854,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.331367,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.229207,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.293686,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.115217,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.01766,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	7360,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
