0,N
elongation	13.3889,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	8.12844,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	5647.48,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	1525.71,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	4121.77,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	15485.3,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	18.0981,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	560.145,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.572,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	199.772,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	6.88829,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.74617,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	360.373,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	11.2098,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	1.09545,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.144405,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.424045,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.824596,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.21006,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.631864,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.355883,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.241961,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.310189,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.121768,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0187287,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10340_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	8970,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	117.584,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	38.7322,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.03582,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	7.80325,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	15.0686,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	20969.2,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	10681.9,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	10287.3,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	36960.8,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	21.0888,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	3483.28,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.64005,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	1380.78,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.70715,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.214392,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	2102.5,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	11.3817,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.193564,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.290619,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.522583,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.755991,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.23469,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.516642,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.591855,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.411648,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.527193,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.206702,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0315786,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10345_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	4841,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	103.423,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	28.0495,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.68715,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	7.92204,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	13.055,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	13844,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	8375.74,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	5468.27,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	26977.1,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	17.5859,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1820.47,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.35991,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	985.151,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.49031,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.287216,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	835.322,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.09564,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.246489,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.165494,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.435433,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.860659,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.27728,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.652351,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.386387,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.263586,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.338264,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.132958,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0205924,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10347_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	403,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	128.676,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	44.4194,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	2.89683,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	31.3554,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	4.10378,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	1701.98,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	1448.35,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	253.632,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	5710.15,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	9.29506,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	168.435,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	3.44205,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	68.5493,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	6.25641,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	1.7939,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	99.8861,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	3.03866,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.290408,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.222493,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.462511,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.881868,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.33362,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.655994,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.468285,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.324987,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.417187,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.164041,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0254601,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10356_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	5004,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	83.0566,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	22.763,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.64876,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	6.62967,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.528,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	10238.3,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	8196.53,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2041.79,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	18313.4,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	13.5336,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1457.16,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.60226,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	898.975,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	6.66535,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.155256,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	558.187,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	6.86828,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.265501,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.16266,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.411654,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.795393,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.1543,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.61594,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.442094,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.296162,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.379649,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.149024,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0229114,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10361_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	5647,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	113.484,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	37.5547,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.02182,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	10.7691,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	10.5378,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	9897.53,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	7498.31,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2399.22,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	20226.9,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	20.0131,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1596.22,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.38387,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	572.876,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	12.8448,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.904782,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	1023.34,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	7.1683,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.157747,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.296004,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.433195,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.836795,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.24218,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.634102,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.686529,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.470781,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.603769,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.23713,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0365679,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10376_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	3375,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	81.59,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	24.9463,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.27063,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	6.67115,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.2303,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	9585.14,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	4921.84,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	4663.31,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	18568,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	16.9203,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1341.61,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.92302,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	589.524,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	10.8262,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.624602,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	752.083,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	6.09411,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.155133,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.141883,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.447002,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.793573,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.16981,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.605453,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.349381,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.237279,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.304284,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.119497,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0184185,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10377_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	6390,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	99.8554,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	29.4812,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.38709,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	8.00266,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.4778,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	12210.6,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	10305.9,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	1904.69,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	22966.9,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	16.2019,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1924.28,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.86738,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	708.995,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	7.37603,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.241075,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	1215.28,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.82583,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.201365,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.244846,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.431217,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.832253,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.21869,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.639033,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.567128,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.391533,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.502166,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.19724,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0304294,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10388_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
,sub-10429_dwi.Superior_Longitudinal_Fasciculus1_R.no_result.txt	0
number of tracts	6591,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	106.343,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	31.6514,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.35983,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	7.77686,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	13.6743,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	15617.5,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	6509.24,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	9108.24,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	29551.6,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	18.8834,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	2154.41,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.46868,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	1356.3,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	12.4604,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.359631,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	798.109,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	6.42303,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.162393,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.0957926,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.409259,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.868255,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.24953,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.677615,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.236835,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.161173,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.206874,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.0813324,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0126119,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10438_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	5869,sub-10440_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	98.0116,sub-10440_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	33.8026,sub-10440_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	2.89953,sub-10440_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	7.87026,sub-10440_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.4534,sub-10440_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
