0,N
radius of end region 1(mm)	3.45214,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.402438,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	76.3835,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	2.83058,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.329535,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.109059,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.441605,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.754713,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.13978,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.562181,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.268955,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.182892,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.234166,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.0917822,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.013997,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	6404,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	77.7321,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	21.5486,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.60729,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	5.21066,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	14.9179,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	13586.5,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	9719.31,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	3867.16,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	26614.7,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	18.4263,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	2192.6,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
