0,N
volume(mm^3)	14847.8,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	14320.9,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	526.851,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	26705.8,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	16.8767,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3375.56,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.20868,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1184.92,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	7.11639,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.13427,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	2190.64,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	9.76035,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.136619,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.152352,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.460472,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.771782,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.16066,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.577343,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.364462,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.248638,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.318598,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.124997,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0191644,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10227_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	7566,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	81.168,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	33.1508,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.44844,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.57029,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	17.7599,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	20107.5,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	19173.2,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	934.229,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	33808.5,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	18.4398,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3424.53,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.46535,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1664.77,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	7.94978,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.119263,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	15
