0,N
volume(mm^3)	27746.8,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	23488.9,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	4257.89,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	50884.1,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	22.9097,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	3987.61,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	8.11078,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	2619.56,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	14.1712,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.240842,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1368.05,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	8.7385,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.175357,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.269917,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.457784,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.80781,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.23027,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.596581,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.579952,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.403812,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.517509,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.203073,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0311661,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-10235_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	10938,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	87.9423,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	22.8366,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	3.85093,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	5.1391,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	17.1124,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	20225.9,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	16722.1,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	3503.85,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	32854.7,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.8956,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	3388.29,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.94927,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	2137.76,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	11.0448,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.17927,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1250.53,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	7.85079,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.154839,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	18
