0,N
area of end region 1(mm^2)	704.099,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	7.01848,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.219787,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	680.596,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	6.29209,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.182747,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.295977,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.448831,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.90169,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.31624,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.694414,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.646061,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.447658,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.575281,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.226502,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0354093,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10225_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	10514,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	111.492,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	26.1478,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	4.2639,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	8.40953,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	13.2578,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	15391.3,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	13317.2,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	2074.1,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	29169.7,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	19.0755,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2448.19,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	6.28157,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1870.42,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	12.399,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.258217,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	577.772,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	6.67647,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.242375,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.205249,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.516616,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.7218,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.14397,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.510715,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.426115,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.29947,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.383287,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.150163,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0228433,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10227_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	902,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	133.702,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	28.2296,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	4.73624,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	20.0508,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	6.66816,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	4669.18,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	2228.83,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	2440.35,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	12629.7,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	15.7148,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	559.166,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	4.50919,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	283.99,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	11.4207,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	1.44289,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	275.176,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	4.29415,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.21052,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.287985,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.473819,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.760387,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.17884,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.551163,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.615807,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.428305,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.548399,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.214955,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.032788,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10228_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	6023,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	90.5441,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	27.9546,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.23897,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	7.93175,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	11.4154,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	9266.88,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	8732.2,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	534.684,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	15770.2,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	9.72394,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	1089.93,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	4.85665,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	196.834,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	3.90599,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.243507,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	893.099,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	5.81794,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.119066,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.241884,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.37626,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	20
